artist_name,painting_name,artist_year_of_death,artist_gender,artist_origin,painting_style,painting_content,painting_medium,painting_turnover,painting_wikiart_link,painting_rarity,painting_image_link,artist_description,artist_wiki_link,artist_image_link,nft_collectible_link,nft_image_link,nft_ipfs_token_id,
Max Liebermann,The Artist's Granddaughter at the Table,1935,Male,Jewish,Impressionism,genre painting,"oil, canvas",1964381,https://www.wikiart.org/en/max-liebermann/the-artist-s-granddaughter-at-the-table-1923,5,https://i.ibb.co/PWKRSfc/image.jpg,"Max Liebermann  was a German painter and printmaker, and one of the leading proponents of Impressionism in Germany and continental Europe. In addition to his activity as an artist, he also assembled an important collection of French Impressionist works.",https://en.wikipedia.org/wiki/Max_Liebermann,https://i.ibb.co/1L64yB2/image.jpg,https://i.ibb.co/xgt2Gs0/image.png,https://i.ibb.co/qNmYTp1/image.gif,79,
Sam Francis,Untitled,1994,Male,American,Abstract Expressionism,abstract,,65023623,https://www.wikiart.org/en/sam-francis/untitled-1965-2,2,https://i.ibb.co/Y8YRRVb/image.jpg,Samuel Lewis Francis  was an American painter and printmaker..,https://en.wikipedia.org/wiki/Sam_Francis,https://i.ibb.co/BjM7yjY/image.jpg,https://i.ibb.co/98P2Yv7/image.png,https://i.ibb.co/XpJC0Q8/image.gif,80,
Brett Whiteley,"The Window, Lavender Bay",1992,Male,Australian,,figurative,,0,https://www.wikiart.org/en/brett-whiteley/the-window-lavender-bay-1980,6,https://i.ibb.co/4tHNKFZ/image.jpg,"Brett Whiteley AO  was an Australian artist. He is represented in the collections of all the large Australian galleries, and was twice winner of the Archibald, Wynne and Sulman prizes.",https://en.wikipedia.org/wiki/Brett_Whiteley,https://i.ibb.co/hL9x9Ty/image.jpg,https://i.ibb.co/7VwLvCh/image.png,https://i.ibb.co/yf5MQqY/image.gif,81,
Giorgio Morandi,Natura Morta,1964,Male,Italian,Magic Realism,still life,,47152449,https://www.wikiart.org/en/giorgio-morandi/natura-morta-1955,3,https://i.ibb.co/dpCx8WS/image.jpg,"Giorgio Morandi  was an Italian painter and printmaker who specialized in still life. His paintings are noted for their tonal subtlety in depicting simple subjects, which were limited mainly to vases, bottles, bowls, flowers and landscapes.",https://en.wikipedia.org/wiki/Giorgio_Morandi,https://i.ibb.co/8xJgdNt/image.jpg,https://i.ibb.co/K01hhKK/image.png,https://i.ibb.co/kBMtdZ4/image.gif,82,
Jackson Pollock,Number 1 (Lavender Mist),1956,Male,American,Action painting,abstract,"oil, enamel, canvas",79891312,https://www.wikiart.org/en/jackson-pollock/number-1-lavender-mist-1950-1,2,https://i.ibb.co/p4nV70q/image.jpg,"Paul Jackson Pollock  was an American painter and a major figure in the abstract expressionist movement. He was widely noticed for his ""drip technique"" of pouring or splashing liquid household paint onto a horizontal surface, enabling him to view and paint his canvases from all angles.",https://en.wikipedia.org/wiki/Jackson_Pollock,https://i.ibb.co/8DjDwMp/image.jpg,https://i.ibb.co/qpKMQqz/image.png,https://i.ibb.co/L0PRTfH/image.gif,83,
William Hogarth,Self portrait,1764,Male,British,Rococo,self-portrait,"oil, canvas",4984,https://www.wikiart.org/en/william-hogarth/self-portrait-1,6,https://i.ibb.co/Prrf9y2/image.jpg,"William Hogarth   was an English painter, engraver, pictorial satirist, social critic, editorial cartoonist and occasional writer on art. His work ranges from realistic portraiture to comic strip-like series of pictures called ""modern moral subjects"", and he is perhaps best known for his series A Harlot's Progress, A Rake's Progress and Marriage A-la-Mode.",https://en.wikipedia.org/wiki/William_Hogarth,https://i.ibb.co/Ctp5SFX/image.jpg,https://i.ibb.co/yW39nkh/image.png,https://i.ibb.co/LJ3tcMh/image.gif,84,
Canaletto,Perspective with a Portico,1768,Male,Italian,Rococo,capriccio,"oil, canvas",0,https://www.wikiart.org/en/canaletto/perspective-with-a-portico-1765,6,https://i.ibb.co/QjsrMxC/image.jpg,"Giovanni Antonio Canal , commonly known as Canaletto , was an Italian painter from the Republic of Venice, considered an important member of the 18th-century Venetian school.
Painter of city views or vedute, of Venice, Rome, and London, he also painted imaginary views , although the demarcation in his works between the real and the imaginary is never quite clearcut.",https://en.wikipedia.org/wiki/Canaletto,https://i.ibb.co/LtXB45h/image.jpg,https://i.ibb.co/c2KkhD2/image.png,https://i.ibb.co/NLbkqKb/image.gif,85,
Hans Hartung,Composition,1989,Male,French,Tachisme,abstract,,22952675,https://www.wikiart.org/en/hans-hartung/composition-1948,3,https://i.ibb.co/HDNjCWr/image.jpg,"Hans Hartung  was a German-French painter, known for his gestural abstract style. He was also a decorated World War II veteran of the Legion d'honneur.",https://en.wikipedia.org/wiki/Hans_Hartung,https://i.ibb.co/FDrRgBF/image.jpg,https://i.ibb.co/NZX1fvX/image.png,https://i.ibb.co/DGMwFDt/image.gif,86,
Hendrik Goltzius,Christ Carrying the Cross,1617,Male,Dutch,Mannerism (Late Renaissance),religious painting,"print, engraving",0,https://www.wikiart.org/en/hendrick-goltzius/christ-carrying-the-cross-1598,6,https://i.ibb.co/xYsvNC4/image.jpg,"Hendrick Goltzius, or Hendrik,  was a German-born Dutch printmaker, draftsman, and painter. He was the leading Dutch engraver of the early Baroque period, or Northern Mannerism, lauded for his sophisticated technique, technical mastership and ""exuberance"" of his compositions.",https://en.wikipedia.org/wiki/Hendrick_Goltzius,https://i.ibb.co/xKvHdBH/image.jpg,https://i.ibb.co/fdf54rD/image.png,https://i.ibb.co/pR9M27R/image.gif,87,
Marsden Hartley,Fisherman's Last Supper,1943,Male,American,Expressionism,genre painting,,0,https://www.wikiart.org/en/marsden-hartley/fisherman-s-last-supper-1941,6,https://i.ibb.co/94NJWQB/image.jpg,"Marsden Hartley  was an American Modernist painter, poet, and essayist. Hartley developed his painting abilities by observing Cubist artists in Paris and Berlin.",https://en.wikipedia.org/wiki/Marsden_Hartley,https://i.ibb.co/k1jZwPj/image.jpg,https://i.ibb.co/WnSF0t0/image.png,https://i.ibb.co/bXB8wHQ/image.gif,88,
Otto Dix,Stormtroops Advancing Under Gas,1969,Male,German,Expressionism,battle painting,,2510238,https://www.wikiart.org/en/otto-dix/stormtroops-advancing-under-gas,5,https://i.ibb.co/ZWz5FXR/image.jpg,"Wilhelm Heinrich Otto Dix  was a German painter and printmaker, noted for his ruthless and harshly realistic depictions of German society during the Weimar Republic and the brutality of war. Along with George Grosz and Max Beckmann, he is widely considered one of the most important artists of the Neue Sachlichkeit.",https://en.wikipedia.org/wiki/Otto_Dix,https://i.ibb.co/R7s7NLp/image.jpg,https://i.ibb.co/6gT86D5/image.png,https://i.ibb.co/q90Xr1y/image.gif,89,
Roy Lichtenstein,Blam,1997,Male,American,Pop Art,genre painting,"oil, canvas",1241881031,https://www.wikiart.org/en/roy-lichtenstein/blam-1962,1,https://i.ibb.co/VSF8J6V/image.jpg,"Roy Fox Lichtenstein  was an American pop artist. During the 1960s, along with Andy Warhol, Jasper Johns, and James Rosenquist among others, he became a leading figure in the new art movement.",https://en.wikipedia.org/wiki/Roy_Lichtenstein,https://i.ibb.co/mzvCyys/image.jpg,https://i.ibb.co/s18LjcX/image.png,https://i.ibb.co/BqLtDQX/image.gif,90,
